id_ruta,id_cliente
0,6355
0,473
0,2492
1,1919
1,3630
1,777
2,4686
2,1869
2,3324
3,5277
3,3890
3,2687
4,4569
4,1800
4,2798
5,2169
5,2803
5,5961
6,1578
6,1336
6,825
7,3113
7,2893
7,4642
8,3701
8,5596
8,6414
9,2744
9,3425
9,2040
10,3463
10,2264
10,723
11,4409
11,3125
11,4266
12,5886
12,998
12,4698
13,4825
13,2334
13,2538
14,6781
14,350
14,1254
15,3107
15,1827
15,1920
16,5906
16,2000
16,1112
17,4615
17,2406
17,6576
18,572
18,898
18,2177
19,5793
19,3697
19,5113
20,3919
20,921
20,5345
21,2447
21,5925
21,1953
22,2527
22,2357
22,2963
23,2346
23,2809
23,6452
24,5869
24,3975
24,2425
25,1194
25,2228
25,4082
26,3771
26,3793
26,1037
27,224
27,2732
27,5902
28,5613
28,3269
28,932
29,4878
29,4232
29,3167
30,2656
30,1934
30,4249
31,4078
31,6422
31,4450
32,2156
32,4838
32,3548
33,5521
33,3484
33,2978
34,6035
34,5412
34,6362
35,5870
35,1826
35,2338
36,2304
36,6188
36,1112
37,261
37,4098
37,1507
38,2353
38,272
38,2751
39,6154
39,3735
39,5399
40,912
40,3874
40,309
41,5715
41,100
41,4960
42,6528
42,892
42,1846
43,1026
43,3655
43,2801
44,5321
44,3298
44,2816
45,2829
45,39
45,4763
46,5262
46,1422
46,5304
47,2284
47,6012
47,3385
48,5942
48,6404
48,3237
49,2212
49,6694
49,1651
50,4087
50,1271
50,3087
51,567
51,2506
51,4799
52,1686
52,6640
52,4898
53,2436
53,2745
53,5661
54,1147
54,5987
54,2578
55,4635
55,1929
55,5075
56,1429
56,937
56,6212
57,5996
57,5125
57,5657
58,1015
58,4741
58,1900
59,4098
59,4889
59,926
60,1852
60,5701
60,6402
61,5932
61,6381
61,5990
62,6390
62,5794
62,4541
63,1178
63,5401
63,3313
64,4123
64,6232
64,1910
65,182
65,1841
65,5677
66,387
66,1649
66,3831
67,3568
67,625
67,375
68,2235
68,6106
68,1959
69,1491
69,3092
69,4781
70,2127
70,4495
70,2206
71,5362
71,1497
71,3599
72,2692
72,4755
72,6451
73,3767
73,4463
73,3159
74,3342
74,3908
74,4488
75,4119
75,1317
75,4314
76,478
76,5382
76,3762
77,840
77,3543
77,4
78,564
78,1231
78,3368
79,3796
79,1843
79,116
80,3939
80,202
80,688
81,1906
81,1896
81,2725
82,5999
82,2622
82,6465
83,813
83,2863
83,928
84,6169
84,1953
84,6469
85,5691
85,1374
85,5265
86,5918
86,729
86,4020
87,4724
87,1380
87,2311
88,2198
88,6146
88,2834
89,6560
89,2467
89,5877
90,1738
90,1940
90,5580
91,4467
91,5429
91,5732
92,3465
92,1561
92,6720
93,6073
93,1742
93,6725
94,764
94,6187
94,5618
95,3897
95,3016
95,4719
96,5636
96,1015
96,1677
97,3573
97,899
97,2628
98,2207
98,6137
98,494
99,6149
99,10
99,2529
100,6300
100,1265
100,3874
101,747
101,5148
101,13
102,1275
102,1752
102,1844
103,1736
103,2123
103,1369
104,4611
104,3023
104,114
105,4546
105,1376
105,3371
106,6742
106,1221
106,1317
107,3572
107,3496
107,1932
108,5032
108,4526
108,4899
109,5236
109,1953
109,288
110,2158
110,3897
110,2456
111,1053
111,4350
111,1731
112,4809
112,4597
112,689
113,3923
113,3495
113,438
114,2767
114,3194
114,856
115,3811
115,3324
115,5059
116,1784
116,6465
116,4471
117,3254
117,434
117,2047
118,5605
118,5330
118,6269
119,5976
119,3580
119,2628
120,1656
120,773
120,2368
121,6609
121,5698
121,5805
122,2029
122,1293
122,893
123,3614
123,1127
123,5071
124,2285
124,2716
124,6454
125,6230
125,6422
125,6470
126,5217
