,id_ruta,id_avion,id_origen,id_destino,tiempo_salida,duracion
0,0,858,26708,2908,1582194401,8340
1,1,207,4332,3588,1581618401,8430
2,2,212,2222,30601,1581917201,7350
3,3,378,3562,27212,1581456401,12420
4,4,843,4617,26638,1582655201,14370
5,5,634,4533,2697,1581560801,10020
6,6,646,27096,26463,1582363601,11640
7,7,638,326363,3431,1581874001,8400
8,8,200,2609,6501,1581298001,11580
9,9,44,2118,3643,1581625601,6720
10,10,456,3700,3657,1582057601,11280
11,11,456,4461,27188,1581834401,11790
12,12,787,1941,4258,1582025201,8760
13,13,935,2492,4408,1581924401,6210
14,14,525,5671,3251,1581402401,7380
15,15,0,3497,308273,1581298001,13590
16,16,903,317457,2462,1581917201,12000
17,17,18,3918,26708,1581712001,13800
18,18,655,27200,3951,1581398801,8520
19,19,174,26412,299747,1582486001,7410
20,20,409,2214,5697,1582057601,10290
21,21,302,2998,5882,1581982001,6450
22,22,540,313262,2434,1582500401,10440
23,23,578,3755,27223,1581589601,5250
24,24,227,4469,3707,1581762401,6420
25,25,703,26411,5023,1581391601,8730
26,26,846,3993,3873,1581931601,3690
27,27,141,3547,27192,1582630001,10830
28,28,911,3561,4070,1581989201,8850
29,29,689,27096,4636,1581960401,6750
30,30,702,2219,2513,1581413201,14220
31,31,596,3887,2476,1581424001,6270
32,32,675,2157,1979,1582237601,7560
33,33,502,3643,4035,1581690401,6960
34,34,388,2669,2622,1581269201,7680
35,35,315,3707,27238,1581863201,8940
36,36,299,3451,6519,1581676001,5580
37,37,39,27214,4137,1581697601,13800
38,38,509,44093,2894,1581269201,4410
39,39,845,2562,3879,1581370001,8160
40,40,980,3930,26589,1581611201,6180
41,41,469,6507,5388,1581931601,4830
42,42,544,5910,4448,1581445601,5220
43,43,488,3171,3993,1582248401,7380
44,44,200,2218,3755,1581586001,14190
45,45,799,3478,26700,1581888401,4020
46,46,736,2209,3898,1582176401,7500
47,47,979,2417,3715,1582424801,5250
48,48,314,3387,2448,1581751601,13470
49,49,268,3766,26618,1581694001,3750
50,50,299,26700,4423,1582550801,10320
51,51,997,27192,331433,1582349201,11130
52,52,967,4070,5663,1581924401,6240
53,53,331,26463,3095,1581557201,11850
54,54,537,4296,5528,1582543601,8430
55,55,655,3401,4951,1582662401,5640
56,56,293,2429,4408,1581571601,7200
57,57,797,3450,2434,1581528401,3600
58,58,62,27197,27230,1581492401,4740
59,59,859,5168,5631,1581607601,12690
60,60,615,4951,5867,1581935201,9660
61,61,465,4004,5220,1581888401,14220
62,62,26,3562,6423,1581568001,5880
63,63,733,2270,3084,1581852401,9150
64,64,173,5226,3715,1581424001,12030
65,65,910,5629,4820,1581413201,8460
66,66,614,2599,42967,1581967601,10710
67,67,171,3595,4614,1582295201,4590
68,68,505,4070,2541,1581362801,4950
69,69,977,3191,6453,1582655201,6840
70,70,457,3503,2218,1582266401,3870
71,71,485,3709,4958,1581913601,5580
72,72,426,5183,3561,1581856001,8640
73,73,862,3588,3531,1582237601,11040
74,74,265,4345,4806,1581726401,9420
75,75,562,4378,3391,1582144001,8760
76,76,282,2613,3568,1582432001,13740
77,77,146,2301,26609,1582378001,5010
78,78,226,26475,2878,1581290801,11640
79,79,758,4713,26618,1582223201,12750
80,80,207,3521,2578,1581679601,9750
81,81,516,26404,3948,1581535601,9990
82,82,714,4757,6217,1582504001,5040
83,83,418,26476,1946,1582075601,11880
84,84,220,3795,27223,1582471601,4800
85,85,817,3673,26638,1581251201,9000
86,86,512,5528,302303,1581319601,5670
87,87,455,27199,3467,1581820001,8430
88,88,354,6467,5910,1582205201,7560
89,89,31,4688,3157,1582597601,9240
90,90,49,41136,2701,1582558001,8130
91,91,469,5242,2493,1581956801,4200
92,92,853,2488,4368,1581794801,7770
93,93,590,2625,5882,1582104401,11310
94,94,347,3421,3066,1581992801,4530
95,95,530,4565,4636,1582392401,13980
96,96,116,6243,5026,1581557201,3960
97,97,122,3482,5087,1581409601,5370
98,98,892,27145,3528,1581391601,6060
99,99,232,324731,6446,1582410401,9450
100,100,643,4344,16091,1582223201,4590
101,101,299,5974,3531,1581852401,8430
102,102,193,4366,4451,1582054001,14130
103,103,693,2417,3632,1582082801,10050
104,104,823,5627,26819,1581485201,10530
105,105,796,2569,5901,1581503201,10830
106,106,422,26755,6061,1581485201,8910
107,107,135,4226,34954,1581762401,4800
108,108,474,2218,2216,1582097201,8550
109,109,649,3620,3926,1581949601,7260
110,110,549,5183,3894,1581769601,9990
111,111,759,3875,2476,1581802001,11940
112,112,531,2224,5689,1581395201,11730
113,113,597,3521,2701,1582327601,11970
114,114,637,5891,2307,1582342001,3990
115,115,531,3448,3623,1581726401,13110
116,116,335,5564,6061,1581276401,9990
117,117,365,5697,2418,1581776801,8490
118,118,531,3752,4979,1581816401,12300
119,119,8,2104,2217,1581971201,11760
120,120,497,4344,3670,1581593201,5100
121,121,373,299738,27242,1582223201,12330
122,122,392,3386,2307,1582363601,5070
123,123,147,3458,309298,1582212401,10560
124,124,778,6384,26789,1581712001,14100
125,125,126,2878,35141,1582424801,12300
126,126,501,26636,3251,1582558001,12870
127,127,185,27200,3490,1582183601,12450
128,128,17,3191,5531,1582273601,6270
129,129,258,27236,4732,1581467201,11790
130,130,369,2247,3711,1582352801,4680
131,131,234,3183,26555,1581895601,8550
132,132,302,3552,3980,1581726401,5280
133,133,644,4512,26380,1581744401,4950
134,134,788,3463,1986,1581758801,3720
135,135,874,3562,4344,1581780401,3930
136,136,461,6423,1986,1582046801,5430
137,137,935,3081,5239,1581856001,12060
138,138,967,2421,26744,1582518401,4530
139,139,825,4354,3405,1582291601,6420
140,140,666,26609,2155,1582525601,8730
141,141,325,3183,5097,1581686801,12840
142,142,406,299747,4806,1581424001,11190
143,143,747,5289,2942,1582619201,5340
144,144,768,3405,3873,1581690401,8730
145,145,685,4341,3642,1581967601,11760
